frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.152508965","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=57ec285ee0d9757b, PKN: 1, PADDING, PING, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PING"
"2","0.152528939","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=57ec285ee0d9757b, PKN: 2, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO"
"3","0.158140819","82","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=f7ec285ee0d9757b, PKN: 1, ACK"
"4","0.160485226","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=f7ec285ee0d9757b, PKN: 2, ACK, PADDING"
"5","0.160893709","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=f7ec285ee0d9757b, PKN: 4, CRYPTO"
"6","0.160893824","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=f7ec285ee0d9757b, PKN: 5, CRYPTO"
"7","0.161154891","81","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=f7ec285ee0d9757b, PKN: 3, ACK"
"8","0.161251600","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=f7ec285ee0d9757b, PKN: 6, CRYPTO"
"9","0.161251694","1164","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"10","0.161654418","81","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=f7ec285ee0d9757b, PKN: 4, ACK"
"11","0.163411054","125","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=f7ec285ee0d9757b, PKN: 5, CRYPTO"
"12","0.163503794","116","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 6, STREAM(2), SETTINGS"
"13","0.163864443","507","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 7, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /edgedl/chrome/dict/en-us-10-1.bdic?cms_redirect=yes&met=1745059344,&mh=7g&mip=46.121.189.58&mm=28&mn=sn-nhpax-ua8k&ms=nvh&mt=1745058968&mv=m&mvi=2&pl=19&rmhost=r4---sn-nhpax-ua8k.gvt1.com&rms=nvh,nvh&shardbypass=sd&smhost=r2---sn-nhpax-ua8y.gvt1.com"
"14","0.168494296","69","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11, ACK, STREAM(7)"
"15","0.168616674","75","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 8, ACK"
"16","0.168932302","573","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 9, CRYPTO"
"17","0.168932418","158","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 10, DONE, NT, NCI"
"18","0.168932471","352","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 12, STREAM(11), STREAM(0), HEADERS: 200 OK"
"19","0.169040940","75","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 9, ACK"
"20","0.169100608","74","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 10, ACK"
"21","0.169111948","1288","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 13, STREAM(0)"
"22","0.169230620","77","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 11, ACK, STREAM(6)"
"23","0.169882049","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 14, STREAM(0)"
"24","0.169882239","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 15, STREAM(0)"
"25","0.169882323","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 16, STREAM(0)"
"26","0.170043038","73","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 12, ACK"
"27","0.170101863","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 17, STREAM(0)"
"28","0.170159678","73","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 13, ACK"
"29","0.170773329","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 20, STREAM(0)"
"30","0.170773445","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 18, STREAM(0)"
"31","0.170843957","75","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 14, ACK"
"32","0.170872164","75","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 15, ACK"
"33","0.171033500","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 19, STREAM(0)"
"34","0.171106256","73","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 16, ACK"
"35","0.172077692","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 21, STREAM(0)"
"36","0.172495599","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 22, STREAM(0)"
"37","0.172495715","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 23, STREAM(0)"
"38","0.172495767","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 24, STREAM(0)"
"39","0.172566196","73","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 17, ACK"
"40","0.172636782","73","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 18, ACK"
"41","0.172743704","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 25, STREAM(0)"
"42","0.172743904","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 26, STREAM(0)"
"43","0.172815027","73","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 19, ACK"
"44","0.172904798","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 27, STREAM(0)"
"45","0.172941997","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 28, STREAM(0)"
"46","0.172994389","73","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 20, ACK"
"47","0.173113345","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 29, STREAM(0)"
"48","0.173319815","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 30, STREAM(0)"
"49","0.173320005","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 31, STREAM(0)"
