frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.000000000","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.35",,,"17","Initial, DCID=7eef32c703ca292b, PKN: 1, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING"
"2","0.000030802","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.35",,,"17","Initial, DCID=7eef32c703ca292b, PKN: 2, PING, CRYPTO, PING, PADDING, PING, PADDING, PING, CRYPTO, PING, PING, PING, PING, PING, PADDING, CRYPTO, PADDING, PING"
"3","0.060599761","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Initial, SCID=9221003f15a9e240, PKN: 11962854, CRYPTO, ACK, PADDING"
"4","0.060600563","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Handshake, SCID=9221003f15a9e240, PKN: 11962854, CRYPTO"
"5","0.061891911","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Handshake, SCID=9221003f15a9e240, PKN: 11962855, CRYPTO"
"6","0.061892019","581","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Handshake, SCID=9221003f15a9e240, PKN: 11962856, CRYPTO"
"7","0.061892063","122","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11962854, STREAM(3), SETTINGS, STREAM(7), STREAM(11), PADDING"
"8","0.062049433","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.35",,,"17","Handshake, DCID=9221003f15a9e240, PKN: 4, ACK"
"9","0.064006677","85","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.35",,,"17","Handshake, DCID=9221003f15a9e240, PKN: 5, ACK"
"10","0.066043800","115","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.35",,,"17","Handshake, DCID=9221003f15a9e240, PKN: 6, CRYPTO"
"11","0.066188694","114","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.35",,,"17","Protected Payload (KP0), DCID=9221003f15a9e240, PKN: 7, STREAM(2), SETTINGS"
"12","0.066605744","548","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.35",,,"17","Protected Payload (KP0), DCID=9221003f15a9e240, PKN: 8, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /watch/"
"13","0.116689940","81","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Handshake, SCID=9221003f15a9e240, PKN: 11962857, ACK"
"14","0.116690113","154","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11962855, DONE, NT, PADDING"
"15","0.116690200","90","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.35","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11962856, ACK, STREAM(11), PADDING"
