frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","-1.849950852","1292","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Initial, DCID=3fbddbf45834c1c9, PKN: 1, PADDING, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PADDING"
"2","-1.849892922","1292","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Initial, DCID=3fbddbf45834c1c9, PKN: 2, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, PADDING, PING, PING, CRYPTO, CRYPTO, PING, PING, PADDING, PING, PADDING, CRYPTO"
"3","-1.825726237","82","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Initial, SCID=ffbddbf45834c1c9, PKN: 1, ACK"
"4","-1.825726107","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Initial, SCID=ffbddbf45834c1c9, PKN: 2, ACK, PADDING"
"5","-1.825726064","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Initial, SCID=ffbddbf45834c1c9, PKN: 3, CRYPTO, PADDING"
"6","-1.825726021","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Initial, SCID=ffbddbf45834c1c9, PKN: 4, CRYPTO, PADDING"
"7","-1.825244536","1292","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Initial, DCID=ffbddbf45834c1c9, PKN: 3, ACK, PADDING"
"8","-1.800200600","79","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Handshake, DCID=ffbddbf45834c1c9, PKN: 5, PADDING, PING"
"9","-1.768440686","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Handshake, SCID=ffbddbf45834c1c9, PKN: 5, CRYPTO"
"10","-1.768440394","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Handshake, SCID=ffbddbf45834c1c9, PKN: 6, CRYPTO"
"11","-1.768440307","808","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"12","-1.768134149","81","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Handshake, DCID=ffbddbf45834c1c9, PKN: 6, ACK"
"13","-1.766451458","82","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Handshake, DCID=ffbddbf45834c1c9, PKN: 7, ACK"
"14","-1.764916092","125","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Handshake, DCID=ffbddbf45834c1c9, PKN: 8, CRYPTO"
"15","-1.764779995","113","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Protected Payload (KP0), DCID=ffbddbf45834c1c9, PKN: 9, STREAM(2), SETTINGS"
"16","-1.742191297","74","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Protected Payload (KP0), DCID=ffbddbf45834c1c9, PKN: 10, ACK"
"17","-1.729681561","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Handshake, SCID=ffbddbf45834c1c9, PKN: 9, ACK, CRYPTO"
"18","-1.729681366","151","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11, STREAM(3), SETTINGS"
"19","-1.729357570","203","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Protected Payload (KP0), DCID=ffbddbf45834c1c9, PKN: 12, STREAM(2), SETTINGS"
"20","-1.729155473","210","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Protected Payload (KP0), DCID=ffbddbf45834c1c9, PKN: 14, ACK, STREAM(2), SETTINGS"
"21","-1.665986832","986","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 12, CRYPTO"
"22","-1.665986582","163","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.174","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 13, DONE, NT, NCI"
"23","-1.665447739","75","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Protected Payload (KP0), DCID=ffbddbf45834c1c9, PKN: 15, ACK"
"24","-1.665385877","75","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.174",,,"17","Protected Payload (KP0), DCID=ffbddbf45834c1c9, PKN: 16, ACK"
